ID vendeur;Date;Vendeur;ID avis;Note;Avis;ID commande;ID client
57;19/06/2020;SLS Distribution;122;5.00;"Livré le surlendemain, produits conformes et très bien emballés. 
Quand à la communication il n'y a pas assez d'étoiles pour l'évaluer à sa juste valeur!
Steph";1427;1886
59;19/06/2020;VW Sports;125;4.00;Pas de souci;1208;1506
59;13/07/2020;VW Sports;174;5.00;très réactif et efficace;1533;1356
59;21/09/2020;VW Sports;258;5.00;Ras rien à dire;2594;3637
59;21/09/2020;VW Sports;266;4.57;produit conforme a la commande seul bémol le livreur a fait une erreur de colis a la livraison  il a été obliger de repasser pour récupérer le mauvais colis et me donner le mien;2419;3486
59;28/09/2020;VW Sports;309;3.29;J'ai commandé le 13/09 et j'ai reçu le colis le 24/09 car je suis intervenu auprès de proshop le 22/09.De plus, je trouve les frais de port exagérés.;2783;341
59;03/10/2020;VW Sports;319;5.00;Excellent service;2872;3720
59;03/10/2020;VW Sports;321;4.71;BIEN;3028;380
59;03/10/2020;VW Sports;326;2.29;"l'achat sur le site de PROSHOP rien de changé,  par rapport à l'ancienne version suivi par la fédération.
je pense qu'une communication honnête de la fédération aurai des plus préjudiciable pour expliquer le pourquoi du comment ""un privé"" reprend les ite d'achat.";3060;485
59;07/10/2020;VW Sports;339;5.00;1 achat donc pas d'experience;3123;2460
64;17/05/2020;Casal Sport;47;3.00;Je trouve que les tarifs on augmentés par rapport à la Centrale du Club, en plus maintenant il y a les frais de port;759;1706
64;29/05/2020;Casal Sport;57;1.36;Aucun respect sur le délai de livraison, le paquet de masque est mis en vrac dans le carton , carton en mauvais état;928;243
64;29/05/2020;Casal Sport;63;2.50;Le délai de livraison a été de 2 mois ! Période exceptionnelle je l'accorde mais je suis obligé de le préciser.;832;1829
64;04/06/2020;Casal Sport;84;4.71;toujours été satisfaits par ce vendeur;937;2064
64;12/06/2020;Casal Sport;99;5.00;TOP;1110;1490
64;23/06/2020;Casal Sport;144;4.79;"Problème lors de la livraison , 1 produit manquant et détérioré  ( vol  et produit abimé pendant l'acheminement)
Produits  remplacés  sans aucuns soucis, réactivité pro.";1223;1773
64;24/06/2020;Casal Sport;152;4.07;Frais de livraison élevés par rapport au délai;1244;2398
64;14/07/2020;Casal Sport;179;1.00;Je n ai pas reçu la commande!!!!!!!;1617;2726
