ID;Debut;Fin;Statut;Produits HT;Livraison HT;Livraison TTC;Total HT;Total TVA;Total TTC;Comission HT;Comission TTC;Commandes remboursees TTC;Comissions remboursees TTC;Vendeur;Commandes
208;01-07-2020  15:26;15-07-2020  17:30;close;832.24;98.15;117.78;930.39;186.10000000000002;1116.49;111.65;133.98;0;0;Cress Sport;LJOGDBQRQ,QNXAXSNPJ,JMDBHIDXV,OUMAYXZCL,RXMTADATJ,BOXEUZXGB,VZEZECKJH,HLXSRORAQ,YJNQVCEJO,AZHMEGUDT
204;26-06-2020  13:15;01-08-2020  16:36;close;66.66;7.98;9.58;74.64;14.920000000000002;89.56;8.96;10.74;44.78;5.37;Jumbee;BQCLIZCQT,HHHOWJKED
205;29-06-2020  13:52;;open;0;0;0;0;0;0;0;0;0;0;LBD Maison;
206;29-06-2020  14:15;;open;0;0;0;0;0;0;0;0;0;0;Planète Raquettes;
207;29-06-2020  15:50;15-10-2020  13:19;close;545.18;44.00;52.80;589.18;117.83000000000004;707.01;49.48;59.38;465.16;39.07;EXTREME TENNIS;ABTPEBYRA,IUKSZYJRW,QUMAMEZWT,RYBJJVJPZ,IPSKQYAVM,PJXLQLZVS
203;24-06-2020  09:26;09-07-2020  13:56;close;412.25;0.00;0.00;412.25;82.44999999999999;494.70;49.47;59.36;0;0;Sodex International;YYITVBHUT,HPFCBUGIM,TAWVBGBPD,WZJJQHWQW,CASXOKBIW
201;09-12-2019  13:18;;open;0;0;0;0;0;0;0;0;0;0;Sportifrance;
202;04-06-2020  11:20;;open;0;0;0;0;0;0;0;0;0;0;AConcept;
200;10-06-2020  13:12;20-08-2020  12:22;close;25.38;12.90;15.48;38.28;7.659999999999997;45.94;4.59;5.51;36.93;4.43;Casal Sport;XFJVPZUZF
199;10-06-2020  13:54;24-06-2020  09:26;close;4275.07;0.00;0.00;4275.07;854.9900000000007;5130.06;512.99;615.63;0;0;Sodex International;QMJJBLWFM,UXNJSZVMM,FRQNOGCEK,GOIXCQBRK,OUMAYXZCL,EKEVSMCIR,HOEVCFBOA,LRTWMLGVL,RJAKIWJLB,HLXSRORAQ,ALOIKKJQT,HTDQZGNRX,SIMLSWYMP,BIZMZPIAG,GOJRPQHWQ,UDJDRBBFS,LJXUIRJEQ,NHUFGLLZP,VEGZSYBMN,FTWJJPFMR,PXKLZPEEB,MSGLDQZYQ
198;17-06-2020  09:18;09-07-2020  13:48;close;1418.00;0.00;0.00;1418.00;283.5999999999999;1701.60;184.34;221.21;0;0;France Filets;NGXESUQSD,JWZQYLPND,GUUEECDYH,VSNDJOJWI,DOBROLQPI,PXKLZPEEB,BTGWSAPBD
196;15-06-2020  18:06;01-07-2020  15:29;close;234.00;35.00;42.00;269.00;53.80000000000001;322.80;37.66;45.19;0;0;Iteuil sports;HPRTIGBHF
197;15-06-2020  18:06;02-11-2020  10:58;close;4218.00;50.34;62.89;4268.34;856.1499999999996;5124.49;563.68;676.42;0;0;2CI;UMYYTHJHL,ITECGJKDQ
190;15-06-2020  18:06;01-07-2020  15:30;close;722.42;64.00;76.80;786.42;157.2800000000001;943.70;102.22;122.69;0;0;Huck Occitania;PRNCLUBGR,PSVTGGGMB,WFVAFATIT,RUICOJOQG
191;15-06-2020  18:06;01-07-2020  15:31;close;659.99;60.00;72.00;719.99;144.01;864.00;93.59;112.32;0;0;Innoquipe;PVKNGBMWL,DLYIIBTVQ,WHIXUFQSP,HPFCBUGIM,BUIESAFRU,DHFLNYWSX,PEYBTNPQS,UZUQAOIFJ,WSBPWQVYB
192;15-06-2020  18:06;01-07-2020  15:26;close;418.10;42.32;50.78;460.42;88.82;549.24;54.93;65.91;298.39;35.81;Cress Sport;PLVHECKAF,XSNICTCMI,GOIXCQBRK,EKEVSMCIR,BUDKGNSFL
193;15-06-2020  18:06;01-07-2020  15:34;close;56.66;14.00;16.80;70.66;14.14;84.80;8.48;10.18;0;0;SLS Distribution;EKEVSMCIR,UOZCEXRSR
194;15-06-2020  18:06;01-07-2020  15:35;close;159.54;51.00;61.20;210.54;42.110000000000014;252.65;23.15;27.80;0;0;SCFR Impex;PVKNGBMWL,HPFCBUGIM,MNWAYYZPR,FRQNOGCEK,GYYRZALUL,FGOGTATFH
195;15-06-2020  18:06;01-07-2020  15:35;close;182.47;10.00;12.00;192.47;38.49000000000001;230.96;23.10;27.72;0;0;Tennis Scorer;WZJJQHWQW
186;15-06-2020  18:06;01-07-2020  15:41;close;2180.79;317.30;317.30;2498.09;436.19000000000005;2934.28;293.43;352.12;0;0;VW Sports;HPRTIGBHF,RGIXIWSRR,OGUDRLNIR,DQDXWMTIY,GJSPMQSDC,KMMYJSQLE,DGZQEMJHZ,WAJTQAJWZ,WKKJQMDBA,TMICAYXCL,HRLYCJZLV,YLEJIMNJN,EWOXUCTCE
187;15-06-2020  18:06;01-07-2020  15:42;close;2201.78;208.50;250.20;2410.28;482.05999999999995;2892.34;289.23;347.07;0;0;Manutan Collectivités;YVLQFVUSH,ZUKGUTISK,HPRTIGBHF,BQXBTCPTV,LENCMBLRE,XFXWZQHCM,RVEUBTGAV,BMSEZCYVD,YKBKWSOGX
